Date, Open, High, Low, Close, Volume
7/12/2024,512.49,518.03,512.17,514.55,5238170
7/11/2024,516,516.79,510.825,511.39,5546308
7/10/2024,511.98,516.185,511.69,515.81,3446923
7/9/2024,511.21,512.01,510.54,510.89,3145823
7/8/2024,510.5,511.205,509.32,510.33,3143379
7/5/2024,507.13,510.1,506.49,509.84,3156922
7/3/2024,504.22,507.14,504.22,506.81,2131086
7/2/2024,499.69,504.61,499.61,504.53,4210083
7/1/2024,501.49,501.6799,498.6,501.28,4368526
6/28/2024,502.97,505.73,499.01,500.13,5598571
6/27/2024,503,504.48,502.32,503.85,3619655
6/26/2024,501.47,503.77,500.89,503.07,3202700
6/25/2024,501.71,502.83,500.32,502.51,6336724
6/24/2024,502.03,504.4395,500.43,500.43,7022844
6/21/2024,502.1,503.2157,500.85,501.78,4347838
6/20/2024,505.14,505.74,501.19,502.88,4810867
6/18/2024,503.05,504.3552,502.63,504.28,3431665
6/17/2024,498.48,504.18,497.91,502.94,4609539
6/14/2024,497.26,499.04,496.29,498.98,5812046
6/13/2024,499.3,499.45,496.06,498.58,8808879
6/12/2024,497.93,500.15,496.71,497.64,3698787
6/11/2024,490.99,493.66,489.109,493.53,4028423
6/10/2024,490.17,492.69,489.56,492.41,3465222
6/7/2024,490.55,493.53,489.54,490.8,3063587
6/6/2024,491.84,492.18,489.6401,491.44,21343961
6/5/2024,487.87,491.55,486.06,491.55,3026146
6/4/2024,484,486.41,482.56,485.74,2560269
6/3/2024,486.3,486.41,480.4,485.15,4211256
5/31/2024,481.24,484.91,476.475,484.62,5333971
5/30/2024,482.12,482.7504,479.2,480.44,3393589
5/29/2024,483.19,484.68,482.96,483.69,5604961
5/28/2024,487.4,487.645,484.525,487.12,4034716
5/24/2024,485.18,487.4,484.33,486.73,2555241
5/23/2024,489.91,489.99,482.29,483.44,3811307
5/22/2024,487.79,488.43,484.94,487.06,3250581
5/21/2024,486.53,488.58,486.35,488.48,2453576
5/20/2024,486.78,488.6099,486.45,487.17,2599585
5/17/2024,486.09,486.73,484.7,486.69,3274035
